Width,Electron density,Negative density,Positive density,O- density,O2- density,CO3- density,CO4- density,CO2+ density,O2+ density,O density,O2 density,O3 density,CO density,C density,CO2e1 density,CO2va density,CO2vb density,CO2vc density,CO2v1a density,CO2v1 density,CO2v2 density,CO2v3 density,CO2v4 density,CO2v5 density,CO2v6 density,CO2v7 density,CO2v8 density,Electric field,Rise rate
0.117,0.08989,0.13323,0.12539,0.2668,0.01037,0.22716,0.20346,0.12262,0.277,0.14427,0.46456,1.02522,0.16564,0.14145,0.09949,0.58377,0.16481,0.69889,1.0995,0.58242,0.45936,0.34208,0.23348,0.18004,0.10648,0.04818,0.16009,0.03337,18
0.12,0.09009,0.13511,0.127,0.26774,0.01101,0.23636,0.21106,0.12407,0.29265,0.14747,0.4755,1.02577,0.16935,0.14381,0.10167,0.59492,0.16539,0.70076,1.11104,0.58399,0.46375,0.34698,0.23763,0.18361,0.10883,0.04932,0.16397,0.03328,18
0.123,0.0903,0.137,0.12863,0.26872,0.01167,0.24562,0.21865,0.12555,0.30883,0.15066,0.48637,1.02631,0.17303,0.1461,0.10383,0.60591,0.16595,0.7024,1.12201,0.58528,0.46791,0.35173,0.2417,0.18713,0.11116,0.05045,0.16785,0.03318,18
0.126,0.09052,0.13892,0.13029,0.26973,0.01234,0.25492,0.2262,0.12703,0.32552,0.15384,0.49717,1.02684,0.17669,0.1483,0.10596,0.61672,0.1665,0.70381,1.13242,0.5863,0.47185,0.35632,0.24567,0.1906,0.11347,0.05157,0.17172,0.03308,18
0.129,0.09076,0.14084,0.13196,0.27077,0.01303,0.26424,0.23369,0.12853,0.34267,0.15699,0.5079,1.02737,0.18033,0.15043,0.10807,0.62736,0.16703,0.70501,1.14229,0.58706,0.47558,0.36078,0.24956,0.19401,0.11576,0.05269,0.17558,0.03297,18
0.132,0.09101,0.14276,0.13364,0.27185,0.01373,0.27355,0.24109,0.13003,0.36026,0.16013,0.51855,1.02788,0.18395,0.15248,0.11015,0.63782,0.16755,0.70601,1.15163,0.58759,0.47909,0.36509,0.25337,0.19736,0.11802,0.05381,0.17944,0.03286,18
0.135,0.09128,0.14468,0.13533,0.27295,0.01445,0.28282,0.24839,0.13154,0.37825,0.16326,0.52914,1.0284,0.18755,0.15445,0.11221,0.64813,0.16805,0.70683,1.16046,0.5879,0.4824,0.36926,0.2571,0.20066,0.12026,0.05492,0.18329,0.03275,18
0.138,0.09155,0.1466,0.13702,0.27409,0.01518,0.29202,0.25554,0.13305,0.39659,0.16636,0.53964,1.0289,0.19113,0.15634,0.11425,0.65826,0.16854,0.70747,1.1688,0.588,0.48552,0.37329,0.26074,0.2039,0.12248,0.05602,0.18713,0.03263,18
0.141,0.09185,0.14851,0.13871,0.27526,0.01591,0.30114,0.26254,0.13456,0.41525,0.16944,0.55007,1.0294,0.19468,0.15816,0.11626,0.66824,0.16902,0.70794,1.17666,0.58791,0.48845,0.3772,0.2643,0.20709,0.12467,0.05711,0.19096,0.0325,18
0.144,0.09215,0.1504,0.1404,0.27646,0.01666,0.31015,0.26936,0.13606,0.43418,0.17251,0.56043,1.02989,0.19821,0.1599,0.11825,0.67805,0.16948,0.70827,1.18406,0.58764,0.4912,0.38097,0.26778,0.21022,0.12684,0.0582,0.19479,0.03238,18
